Gemeente,Kerkbezoek. minimaal 1x per maand (percentage van gehele 18+ populatie),Geen kerkelijke gezindte,Rooms-katholiek,Protestants,Islam,Joods,Hindoe,Boeddhist,anders,
Wormerland,5.3,74.1,17.6,4.6,1.2,0.0,0.0,0.0,2.6,
Onderbanken,14.3,20.1,72.0,1.9,4.5,0.0,0.0,0.0,1.5,
Landgraaf,9.8,17.7,73.4,4.8,1.7,0.0,0.0,0.1,2.4,
Beek,14.9,18.4,72.7,1.4,4.7,0.0,0.2,1.0,1.6,
Beesel,8.6,24.6,70.8,0.3,3.4,0.0,0.0,0.0,0.8,
Bergen (L.),14.0,25.2,68.8,2.8,1.7,0.0,0.0,0.7,0.8,
Brunssum,14.8,24.7,62.7,5.1,2.4,0.0,0.1,0.3,4.7,
Gennep,11.0,32.7,59.7,1.7,4.0,0.0,0.0,0.2,1.7,
Heerlen,13.1,27.6,59.9,3.5,5.0,0.1,0.0,0.5,3.3,
Kerkrade,16.9,15.4,78.3,1.8,2.5,0.0,0.1,0.4,1.5,
Maastricht,12.6,31.7,59.2,2.7,3.5,0.1,0.1,0.4,2.3,
Meerssen,16.8,23.2,72.9,1.6,1.2,0.0,0.0,0.8,0.3,
Mook en Middelaar,14.1,37.7,55.7,3.8,0.0,0.0,0.0,0.2,2.5,
Nederweert,18.2,15.2,82.0,0.8,1.6,0.0,0.0,0.0,0.5,
Nuth,21.2,14.7,81.9,0.3,1.7,0.0,0.0,0.0,1.5,
Roermond,14.8,29.3,57.5,2.2,8.3,0.0,0.7,0.0,1.9,
Schinnen,20.6,24.8,69.1,1.9,1.7,0.0,0.2,0.2,2.1,
Simpelveld,24.1,8.5,88.6,1.0,0.9,0.0,0.0,0.0,1.0,
Stein,12.0,20.7,73.9,1.8,2.5,0.0,0.0,0.0,1.2,
Vaals,21.9,20.2,74.6,1.6,1.0,0.0,0.0,0.7,2.0,
Venlo,12.0,28.0,59.6,2.1,8.6,0.1,0.2,0.3,1.1,
Venray,14.9,28.4,61.8,2.3,5.3,0.0,0.3,0.1,1.8,
Voerendaal,22.9,17.1,79.4,1.2,1.6,0.0,0.0,0.4,0.2,
Weert,11.5,25.4,65.1,2.0,5.0,0.0,0.3,0.2,2.0,
Valkenburg aan de Geul,21.8,22.7,72.6,0.8,1.6,0.0,0.0,0.3,2.0,
Lelystad,14.2,63.4,10.1,10.9,6.6,0.1,1.4,0.9,6.7,
Horst aan de Maas,13.0,27.4,68.2,1.6,0.5,0.1,0.2,0.7,1.4,
Oude IJsselstreek,16.8,35.0,40.6,18.3,3.2,0.0,0.1,0.1,2.8,
